Price,Close,High,Low,Open,Volume
Ticker,DCII.JK,DCII.JK,DCII.JK,DCII.JK,DCII.JK
Date,,,,,
1/2/2023,36775,36800,36775,36800,300
1/3/2023,36750,36750,36750,36750,200
1/4/2023,38000,38000,36500,36500,400
1/5/2023,37900,38000,37900,37950,300
1/6/2023,37900,37900,37900,37900,0
1/9/2023,37900,37900,37900,37900,0
1/10/2023,37900,37900,37900,37900,100
1/11/2023,37900,37900,37900,37900,100
1/12/2023,37900,37900,37900,37900,0
1/13/2023,37750,37850,37750,37850,500
1/16/2023,37725,37725,37725,37725,1300
1/17/2023,37725,37725,37725,37725,0
1/18/2023,37725,37725,37725,37725,200
1/19/2023,37725,37725,37725,37725,0
1/20/2023,37725,37725,37725,37725,100
1/24/2023,37725,37725,37725,37725,0
1/25/2023,37000,37725,37000,37725,600
1/26/2023,37000,37000,37000,37000,500
1/27/2023,37000,37000,37000,37000,0
1/30/2023,36725,37000,36725,37000,800
1/31/2023,37750,38000,37750,38000,200
2/1/2023,37750,37750,37750,37750,0
2/2/2023,37750,37750,37750,37750,0
2/3/2023,37750,37750,37750,37750,0
2/6/2023,37750,37750,37750,37750,0
2/7/2023,37750,37750,37750,37750,0
2/8/2023,37700,37700,37700,37700,100
2/9/2023,37650,37675,37650,37675,300
2/10/2023,37625,37650,37625,37650,200
2/13/2023,37625,37625,37625,37625,0
2/14/2023,37625,37625,37625,37625,100
2/15/2023,37625,37625,37625,37625,0
2/16/2023,37625,37625,37625,37625,0
2/17/2023,37625,37625,37625,37625,300
2/20/2023,37625,37625,37625,37625,0
2/21/2023,37625,37625,37625,37625,0
2/22/2023,37000,37000,36800,37000,800
2/23/2023,38000,38000,37000,37000,900
2/24/2023,37900,37900,37900,37900,200
2/27/2023,37900,37900,37900,37900,0
2/28/2023,37900,37900,37900,37900,0
3/1/2023,37900,37900,37900,37900,100
3/2/2023,37900,37900,37900,37900,100
3/3/2023,37900,37900,37900,37900,0
3/6/2023,37900,37900,37900,37900,0
3/7/2023,37900,37900,37400,37400,600
3/8/2023,37900,37900,37900,37900,100
3/9/2023,37900,37900,37900,37900,200
3/10/2023,37900,37900,37900,37900,100
3/13/2023,37875,37900,37500,37750,800
3/14/2023,37800,37800,37500,37500,1000
3/15/2023,37800,37800,37800,37800,600
3/16/2023,38000,38000,37775,37775,700
3/17/2023,38000,38000,38000,38000,0
3/20/2023,37900,37900,37900,37900,900
3/21/2023,37900,37900,37900,37900,200
3/24/2023,37800,37800,37800,37800,500
3/27/2023,37800,37800,37800,37800,0
3/28/2023,37900,37900,37600,37800,600
3/29/2023,37900,37900,37900,37900,200
3/30/2023,37900,37900,37900,37900,0
3/31/2023,37900,37900,37900,37900,0
4/3/2023,37900,37900,37900,37900,0
4/4/2023,37900,37900,37900,37900,0
4/5/2023,37900,37900,37900,37900,0
4/6/2023,37900,37900,37900,37900,0
4/10/2023,37650,37650,37650,37650,100
4/11/2023,37650,37650,37650,37650,400
4/12/2023,38000,38000,37650,37650,1600
4/13/2023,38000,38000,38000,38000,0
4/14/2023,38000,38000,38000,38000,0
4/17/2023,38000,38000,38000,38000,0
4/18/2023,38000,38000,38000,38000,0
4/26/2023,38000,38000,38000,38000,0
4/27/2023,38000,38000,38000,38000,0
4/28/2023,38000,38000,38000,38000,200
5/2/2023,38000,38000,38000,38000,0
5/3/2023,38000,38000,38000,38000,0
5/4/2023,35700,36250,35500,36000,3200
5/5/2023,35400,35700,35400,35700,2800
5/8/2023,35400,35400,35400,35400,600
5/9/2023,36500,36900,36400,36900,1200
5/10/2023,35850,36500,35850,36500,1300
5/11/2023,35850,35850,35850,35850,100
5/12/2023,35600,35600,35100,35100,800
5/15/2023,36000,36000,35600,35600,1000
5/16/2023,35750,35800,35750,35750,1200
5/17/2023,37425,37500,35100,35600,2000
5/19/2023,37425,37425,37425,37425,0
5/22/2023,34900,34950,34850,34925,4100
5/23/2023,34875,34900,34000,34900,1000
5/24/2023,36000,36000,34800,35050,3800
5/25/2023,35800,35800,33500,34000,7100
5/26/2023,35650,35775,35650,35775,300
5/29/2023,37000,37000,35250,35550,4900
5/30/2023,35000,37000,35000,37000,300
5/31/2023,36000,36000,35000,35000,700
6/5/2023,36500,36500,35550,35800,1300
6/6/2023,35875,36425,35875,36425,800
6/7/2023,35625,35625,35625,35625,200
6/8/2023,36175,36250,35625,35625,400
6/9/2023,36300,36300,36175,36175,1300
6/12/2023,36350,36350,36300,36300,900
6/13/2023,36800,36800,36375,36450,2900
6/14/2023,36800,36800,36800,36800,0
6/15/2023,36800,36800,36800,36800,800
6/16/2023,37900,37975,36800,36800,14600
6/19/2023,37700,37700,37700,37700,2000
6/20/2023,37625,37625,37625,37625,200
6/21/2023,37625,37625,37625,37625,0
6/22/2023,37600,37600,37600,37600,100
6/23/2023,37500,37500,37500,37500,100
6/26/2023,37500,37500,37500,37500,0
6/27/2023,37275,37400,37275,37400,200
7/3/2023,35025,35025,35000,35000,1200
7/4/2023,35075,35075,35050,35050,4500
7/5/2023,35000,35075,35000,35075,2500
7/6/2023,35000,35000,35000,35000,400
7/7/2023,35225,35225,34900,34900,2300
7/10/2023,35150,35200,35150,35200,2300
7/11/2023,35150,35150,34950,35100,1100
7/12/2023,35650,35650,35400,35400,200
7/13/2023,35650,35650,35650,35650,100
7/14/2023,35625,35800,35625,35650,400
7/17/2023,34325,35625,33875,35625,1000
7/18/2023,35475,35475,34750,34750,2200
7/20/2023,35450,35475,34600,35475,4300
7/21/2023,35400,35400,35400,35400,100
7/24/2023,35400,35400,35400,35400,1800
7/25/2023,34550,34600,34550,34550,400
7/26/2023,34600,34600,34475,34500,1300
7/27/2023,35600,35600,34775,34775,700
7/28/2023,34950,35600,34950,35600,400
7/31/2023,35450,35450,34950,34950,800
8/1/2023,35450,35450,35450,35450,200
8/2/2023,35450,35450,35450,35450,0
8/3/2023,35450,35450,35450,35450,100
8/4/2023,34000,35450,34000,35450,1000
8/7/2023,34000,34000,34000,34000,300
8/8/2023,34000,34100,34000,34100,200
8/9/2023,34500,34500,34000,34000,1000
8/10/2023,34550,34550,34500,34500,1200
8/11/2023,34550,34550,34550,34550,400
8/14/2023,34500,34550,34500,34550,300
8/15/2023,34500,34500,34000,34500,1400
8/16/2023,34500,34500,34500,34500,0
8/18/2023,34475,34500,34475,34500,200
8/21/2023,34650,34650,34000,34475,1100
8/22/2023,34650,34650,34625,34650,1000
8/23/2023,34500,34600,34300,34600,1800
8/24/2023,34500,34500,34500,34500,0
8/25/2023,34500,34500,34500,34500,300
8/28/2023,34400,34400,34400,34400,200
8/29/2023,34400,34400,34400,34400,0
8/30/2023,34300,34350,34300,34350,900
8/31/2023,34300,34300,34150,34150,300
9/1/2023,34325,34325,34325,34325,200
9/4/2023,34325,34325,34325,34325,200
9/5/2023,34250,34500,34250,34500,600
9/6/2023,34000,34150,34000,34150,800
9/7/2023,34000,34000,34000,34000,400
9/8/2023,33550,33950,33550,33950,700
9/11/2023,33550,33550,33550,33550,100
9/12/2023,33600,33600,33575,33575,400
9/13/2023,33600,33600,33600,33600,200
9/14/2023,33600,33600,33600,33600,0
9/15/2023,33600,33600,33600,33600,0
9/18/2023,33600,33600,33600,33600,100
9/19/2023,34000,34000,32850,33600,1000
9/20/2023,34000,34000,34000,34000,3200
9/21/2023,34000,34000,34000,34000,0
9/22/2023,34700,34700,34700,34700,100
9/25/2023,34700,34700,34700,34700,100
9/26/2023,34700,34700,34700,34700,0
9/27/2023,34700,34700,34700,34700,0
9/29/2023,34700,34700,34700,34700,100
10/2/2023,34700,34700,34700,34700,0
10/3/2023,34700,34700,34700,34700,0
10/4/2023,34675,34675,34675,34675,400
10/5/2023,34675,34675,34675,34675,0
10/6/2023,34775,34800,34750,34750,400
10/9/2023,34700,34775,34700,34775,600
10/10/2023,34700,34700,34700,34700,0
10/11/2023,34700,34700,34700,34700,0
10/12/2023,34675,34675,34675,34675,100
10/13/2023,34675,34675,34675,34675,0
10/16/2023,34675,34675,34675,34675,500
10/17/2023,34675,34675,34675,34675,0
10/18/2023,34675,34675,34675,34675,0
10/19/2023,34675,34675,34675,34675,0
10/20/2023,34675,34675,34675,34675,0
10/23/2023,34450,34475,34450,34475,300
10/24/2023,34000,34000,34000,34000,100
10/25/2023,33400,33700,33400,33700,500
10/26/2023,33000,33400,33000,33400,700
10/27/2023,34500,34500,33000,33000,400
10/30/2023,34500,34500,34500,34500,100
10/31/2023,34500,34500,34500,34500,0
11/1/2023,34500,34500,34500,34500,100
11/2/2023,34500,34500,34500,34500,100
11/3/2023,34500,34500,34500,34500,0
11/6/2023,34500,34500,34500,34500,0
11/7/2023,34500,34500,34500,34500,0
11/8/2023,34500,34500,34500,34500,100
11/9/2023,34500,34500,34500,34500,0
11/10/2023,34500,34500,34500,34500,0
11/13/2023,34500,34500,34500,34500,0
11/14/2023,34300,34300,34300,34300,200
11/15/2023,34300,34300,34300,34300,0
11/16/2023,34250,34250,34000,34000,900
11/17/2023,34600,34600,34250,34250,1600
11/20/2023,33200,34325,33200,34325,1400
11/21/2023,34200,34200,33350,33350,800
11/22/2023,41025,41025,34400,34400,45700
11/23/2023,49225,49225,41050,41200,43700
11/24/2023,53600,59050,49250,50000,174800
11/27/2023,42900,53600,42900,53600,41500
11/28/2023,42350,46725,37950,42375,42000
11/29/2023,42525,42700,42050,42300,3400
11/30/2023,42475,42500,41975,42000,7200
12/1/2023,40075,42475,40050,42475,5900
12/4/2023,48075,48075,40075,40075,41100
12/5/2023,45125,50000,45100,48325,35800
12/6/2023,45000,45125,44925,45125,2400
12/7/2023,44050,45050,44000,45000,2500
12/8/2023,44100,44100,44050,44050,2500
12/11/2023,43825,44100,43825,44100,1100
12/12/2023,43500,43825,43500,43825,2200
12/13/2023,42000,43500,42000,43500,3900
12/14/2023,47500,48675,44750,44750,15800
12/15/2023,42900,47500,42500,47450,13100
12/18/2023,42800,42900,42500,42900,3600
12/19/2023,42850,42850,42800,42800,1700
12/20/2023,42825,42850,42800,42850,1700
12/21/2023,42825,42825,42825,42825,300
12/22/2023,43900,43900,42800,42850,3000
12/27/2023,43500,43500,43500,43500,100
12/28/2023,43000,43500,43000,43500,1000
12/29/2023,43000,43000,43000,43000,300
1/2/2024,42750,43000,42400,43000,2700
1/3/2024,42725,42750,42725,42750,4100
1/4/2024,42700,42725,42700,42725,200
1/5/2024,42500,42700,42500,42700,200
1/8/2024,42250,42500,42250,42500,3000
1/9/2024,41000,41800,41000,41800,1200
1/10/2024,41000,41000,41000,41000,0
1/11/2024,40000,40400,40000,40400,2400
1/12/2024,40000,40100,40000,40000,1300
1/15/2024,40000,40000,40000,40000,0
1/16/2024,39875,39925,39875,39925,400
1/17/2024,39875,39875,39875,39875,100
1/18/2024,39875,39875,39650,39650,200
1/19/2024,39575,39650,39575,39650,500
1/22/2024,39500,39550,39500,39550,1800
1/23/2024,39500,39500,39500,39500,0
1/24/2024,39500,39500,39500,39500,0
1/25/2024,38900,39500,38900,39500,500
1/26/2024,38900,38900,38900,38900,100
1/29/2024,38450,38900,38450,38900,1100
1/30/2024,38500,38500,38500,38500,100
1/31/2024,38500,38500,38500,38500,100
2/1/2024,36000,36000,32525,32525,500
2/2/2024,36000,36250,36000,36250,200
2/5/2024,39575,40300,36000,36000,8100
2/6/2024,37075,40300,36525,39575,4400
2/7/2024,36550,39700,36500,37000,6000
2/12/2024,36375,36525,36375,36525,900
2/13/2024,36600,36600,36375,36375,400
2/15/2024,36000,36000,33000,33000,1700
2/16/2024,36475,37000,33600,36000,900
2/19/2024,36725,36725,36725,36725,1600
2/20/2024,36725,36725,36500,36500,200
2/21/2024,36725,36725,36725,36725,0
2/22/2024,36500,36725,36500,36725,400
2/23/2024,36000,36025,36000,36025,300
2/26/2024,36000,36000,36000,36000,0
2/27/2024,36000,36000,36000,36000,100
2/28/2024,35850,35850,35850,35850,100
2/29/2024,35000,35850,34500,35850,2100
3/1/2024,35000,35000,35000,35000,4000
3/4/2024,34800,35125,34800,35000,2600
3/5/2024,34800,35000,34800,34800,2400
3/6/2024,34800,34800,34650,34800,2300
3/7/2024,34800,34800,34800,34800,400
3/8/2024,34800,34800,34600,34600,800
3/13/2024,34800,34800,34800,34800,400
3/14/2024,34800,34800,34800,34800,200
3/15/2024,36575,36575,34800,34800,900
3/18/2024,36550,36850,36550,36550,3500
